Group,Marker Icon,Marker Color,Icon Color,Custom Size,Name,Image,Description,Location,Latitude,Longitude
STRUCTURE,media/icons/STRUCTURES/AirBase.png,,,,Airbase,,<b>UNIT NAME</b>: Airbase</br><b>UNIT TYPE</b>: </br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: </br><b>Limited Ammunitions</b>: </br><b>Abilities</b>: </br><b>Force Strength</b>: </br><b>Stealth </b>: </br><b>Unit History</b>: </br>,,-34.741612,-62.841797
STRUCTURE,media/icons/train stop.png,,,,Scheduled Train Stop,,<b>UNIT NAME</b>: Scheduled Train Stop</br><b>UNIT TYPE</b>: </br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: </br><b>Limited Ammunitions</b>: </br><b>Abilities</b>: </br><b>Force Strength</b>: </br><b>Stealth </b>: </br><b>Unit History</b>: </br>,,34.089061,95.800781
STRUCTURE,fa-solid fa-circle-xmark,orange,black,,Stansdon,,"<b>UNIT NAME</b>: Stansdon</br><b>UNIT TYPE</b>: </br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: </br><b>Limited Ammunitions</b>: </br><b>Abilities</b>: </br><b>Force Strength</b>: </br><b>Stealth </b>: No</br><b>Unit History</b>: ruined city covered in sand and dried mud from flooding, terrain is incredibly rough but makes for good cover if they have decide to garrison the ruins.</br>",,40.913513,-24.960937
STRUCTURE,media/icons/STRUCTURES/MASH.png,,,,MASH,,<b>UNIT NAME</b>: MASH</br><b>UNIT TYPE</b>: </br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: </br><b>Limited Ammunitions</b>: </br><b>Abilities</b>: </br><b>Force Strength</b>: </br><b>Stealth </b>: No</br><b>Unit History</b>: </br>,,-19.394068,-77.783203
STRUCTURE,media/icons/STRUCTURES/MASH.png,,,,MASH,,<b>UNIT NAME</b>: MASH</br><b>UNIT TYPE</b>: </br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: </br><b>Limited Ammunitions</b>: </br><b>Abilities</b>: </br><b>Force Strength</b>: </br><b>Stealth </b>: No</br><b>Unit History</b>: </br>,,-19.394068,-62.841797
STRUCTURE,media/icons/STRUCTURES/MASH.png,,,,MASH,,<b>UNIT NAME</b>: MASH</br><b>UNIT TYPE</b>: </br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: </br><b>Limited Ammunitions</b>: </br><b>Abilities</b>: </br><b>Force Strength</b>: </br><b>Stealth </b>: No</br><b>Unit History</b>: </br>,,37.579413,-32.695313
STRUCTURE,media/icons/STRUCTURES/Sensor Tower/Sensor_Tower_sw.png,,,,Sensor Tower,,<b>UNIT NAME</b>: Sensor Tower</br><b>UNIT TYPE</b>: </br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: </br><b>Limited Ammunitions</b>: </br><b>Abilities</b>: </br><b>Force Strength</b>: </br><b>Stealth </b>: No</br><b>Unit History</b>: </br>,,-6.926427,-55.371094
STRUCTURE,media/icons/STRUCTURES/Rough Airfield.png,,,,Rough Airstrip,,<b>UNIT NAME</b>: Rough Airstrip</br><b>UNIT TYPE</b>: </br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: </br><b>Limited Ammunitions</b>: </br><b>Abilities</b>: </br><b>Force Strength</b>: </br><b>Stealth </b>: No</br><b>Unit History</b>: </br>,,-6.926427,-9.931641
STRUCTURE,media/icons/STRUCTURES/Mortar/Mortar_se.png,Purple,,,Motar - BTs,,<b>UNIT NAME</b>: Motar - BTs</br><b>UNIT TYPE</b>: </br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: </br><b>Limited Ammunitions</b>: </br><b>Abilities</b>: </br><b>Force Strength</b>: </br><b>Stealth </b>: No</br><b>Unit History</b>: </br>,,-15.36895,-9.931641
STRUCTURE,media/icons/STRUCTURES/MASH.png,,,,MASH,,<b>UNIT NAME</b>: MASH</br><b>UNIT TYPE</b>: </br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: </br><b>Limited Ammunitions</b>: </br><b>Abilities</b>: </br><b>Force Strength</b>: </br><b>Stealth </b>: No</br><b>Unit History</b>: </br>,,-2.635789,-2.285156
